t,time
1, 124.721
2, 102.116
3, 96.9785
4, 74.4191
5, 72.8754
6, 61.7193
7, 58.095
8, 57.0688
9, 53.2399
10,  55.0871
11, 51.5132
12, 52.8641
13, 53.1239
14, 57.0957
15, 57.4648
16, 58.7873
17, 58.215
18, 63.0606
19, 65.4694
20, 68.0304
